"id","ts","lat","lon","temp","humidity"
"1","2024-04-18 10:00:00","13.9192","100.605","35","46"
"2","2024-04-18 13:00:00","13.9192","100.605","39","32"
"3","2024-04-18 16:00:00","13.9192","100.605","37.1","49"
"4","2024-04-18 19:00:00","13.9192","100.605","33.3","58"
"5","2024-04-18 22:00:00","13.9192","100.605","30.7","74"
"6","2024-04-19 01:00:00","13.9192","100.605","30.4","74"
"7","2024-04-19 04:00:00","13.9192","100.605","30.2","76"
"8","2024-04-19 07:00:00","13.9192","100.605","30.5","76"
"9","2024-04-19 10:00:00","13.9192","100.605","34.9","50"
"10","2024-04-19 13:00:00","13.9192","100.605","38.2","27"
"11","2024-04-19 16:00:00","13.9192","100.605","37.5","44"
"12","2024-04-19 19:00:00","13.9192","100.605","32.8","58"
"13","2024-04-19 22:00:00","13.9192","100.605","31.1","71"
"14","2024-04-20 01:00:00","13.9192","100.605","30.6","78"
"15","2024-04-20 04:00:00","13.9192","100.605","30.4","80"
"16","2024-04-20 07:00:00","13.9192","100.605","30.7","79"
"17","2024-04-20 13:00:00","13.9192","100.605","38.7","30"
"18","2024-04-20 16:00:00","13.9192","100.605","39.5","22"
"19","2024-04-20 19:00:00","13.9192","100.605","34.1","50"
"20","2024-04-20 22:00:00","13.9192","100.605","31.4","75"
"21","2024-04-21 01:00:00","13.9192","100.605","30.8","74"
"22","2024-04-21 04:00:00","13.9192","100.605","30.1","80"
"23","2024-04-21 07:00:00","13.9192","100.605","31.2","65"
"24","2024-04-21 10:00:00","13.9192","100.605","34.3","41"
"25","2024-04-21 13:00:00","13.9192","100.605","37.4","34"
"26","2024-04-21 16:00:00","13.9192","100.605","39.5","27"
"27","2024-04-21 19:00:00","13.9192","100.605","36","40"
"28","2024-04-21 22:00:00","13.9192","100.605","32.8","54"
"29","2024-04-22 01:00:00","13.9192","100.605","31.1","72"
"30","2024-04-22 04:00:00","13.9192","100.605","30.4","72"
"31","2024-04-22 07:00:00","13.9192","100.605","30.8","80"
"32","2024-04-22 10:00:00","13.9192","100.605","35.8","54"
"33","2024-04-22 13:00:00","13.9192","100.605","37.7","45"
"34","2024-04-22 16:00:00","13.9192","100.605","37.6","41"
"35","2024-04-22 19:00:00","13.9192","100.605","33.8","53"
"36","2024-04-22 22:00:00","13.9192","100.605","31.6","70"
"37","2024-04-23 01:00:00","13.9192","100.605","30.8","77"
"38","2024-04-23 04:00:00","13.9192","100.605","30.5","76"
