"id","ts","lat","lon","temp","light"
"1","2024-04-20 11:43:40","13.8441","100.57","41","189.521"
"2","2024-04-20 11:59:30","13.8441","100.57","37","213.13"
"3","2024-04-20 12:06:01","13.8441","100.57","34.25","91.314"
"4","2024-04-20 12:16:01","13.8441","100.57","38","88.452"
"5","2024-04-20 12:26:01","13.8441","100.57","38.25","86.3721"
"6","2024-04-20 12:36:01","13.8441","100.57","38.75","86.0508"
"7","2024-04-20 12:46:02","13.8441","100.57","38.5","82.1422"
"8","2024-04-20 12:56:02","13.8441","100.57","38.5","80.6771"
"9","2024-04-20 13:06:02","13.8441","100.57","39","73.689"
"10","2024-04-20 13:16:02","13.8441","100.57","39","71.5718"
"11","2024-04-20 13:26:02","13.8441","100.57","39.25","66.9663"
"12","2024-04-20 13:36:02","13.8441","100.57","39.25","63.5305"
"13","2024-04-20 13:46:02","13.8441","100.57","39.5","59.6406"
"14","2024-04-20 13:56:02","13.8441","100.57","39.75","57.7769"
"15","2024-04-20 14:06:02","13.8441","100.57","39.75","54.6224"
"16","2024-04-20 14:16:02","13.8441","100.57","39.75","52.161"
"17","2024-04-20 14:26:02","13.8441","100.57","39.75","52.3554"
"18","2024-04-20 14:36:02","13.8441","100.57","40","47.1805"
"19","2024-04-20 14:46:02","13.8441","100.57","40.25","45.6421"
"20","2024-04-20 14:56:02","13.8441","100.57","40.25","43.6582"
"21","2024-04-20 15:06:02","13.8441","100.57","40","43.8432"
"22","2024-04-20 15:16:02","13.8441","100.57","40","40.9194"
"23","2024-04-20 15:26:02","13.8441","100.57","39.5","40.9194"
"24","2024-04-20 15:36:02","13.8441","100.57","39.75","40.3898"
"25","2024-04-20 15:46:02","13.8441","100.57","39.75","36.2495"
"26","2024-04-22 10:09:03","13.8441","100.57","31","148.221"
"27","2024-04-22 10:32:35","13.8441","100.57","36.75","125.816"
"28","2024-04-22 10:42:35","13.8441","100.57","37","134.151"
"29","2024-04-22 10:52:35","13.8441","100.57","37","126.411"
"30","2024-04-22 11:02:35","13.8441","100.57","37","94.7005"
"31","2024-04-22 11:12:36","13.8441","100.57","37.5","118.475"
"32","2024-04-22 11:22:36","13.8441","100.57","37.75","110.039"
"33","2024-04-22 11:32:36","13.8441","100.57","38","115.149"
"34","2024-04-22 11:42:36","13.8441","100.57","37.75","112.3"
"35","2024-04-22 11:52:36","13.8441","100.57","38","105.287"
